"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1852136053483934182","Thu Oct 31 23:50:20 +0000 2024","3","Heboh Bayi di Deliserdang Dikubur Hidup-hidup Jenazahnya Ditemukan di Parit Ibu Korban Depresi https://t.co/WanLvfMDgU","1852136053483934182","","","in","","0","0","0","https://x.com/undefined/status/1852136053483934182","3319260420",
"1852128840363217314","Thu Oct 31 23:21:41 +0000 2024","0","bener depresi dan sedih itu beda...klo depresi itu udah nggak bisa lagi nangis","1852128840363217314","","","in","","0","0","0","https://x.com/undefined/status/1852128840363217314","348182984",
"1851977633627803960","Thu Oct 31 23:02:26 +0000 2024","0","@txtdaritng Harusnya jgn dibunuh supirnya... Diremukan aja kedua kaki &amp; tangan nya biar dia depresi &amp; sangat menderita dan ingin bundir... Itu setimpal","1852123996902625454","","txtdaritng","in","","0","0","0","https://x.com/undefined/status/1852123996902625454","1837552770448322560",
"1851948532137132197","Thu Oct 31 22:48:50 +0000 2024","4","@survacei @tanyakanrl Ngeri njir fans nya orng ngelepas hijab Krn depresinya dihujat hbis an eh mlh ngedukung pelakor yg bikin istri sah Arya depresi nauzubillah","1852120575088693330","","Bucintawan2","in","","0","0","0","https://x.com/undefined/status/1852120575088693330","1402610323434008577",
"1852114586004299828","Thu Oct 31 22:25:02 +0000 2024","0","Wkwk rill baru nyadar pas jaman sekolah dulu ak ternyata depresi sadarnya sekarang pas udah gede","1852114586004299828","","","in","","0","0","0","https://x.com/undefined/status/1852114586004299828","1489796424564764672",
"1852113449863778513","Thu Oct 31 22:20:31 +0000 2024","0","Salah satu cara mengalahkan seseorang adalah dengan membuat mereka malas tidak sehat kesepian dan depresi.","1852113449863778513","","","in","","0","0","0","https://x.com/undefined/status/1852113449863778513","1647366763276029952",
"1852086148220489893","Thu Oct 31 20:32:02 +0000 2024","0","lumayan ngurang ngurangin depresi.","1852086148220489893","","","tl","","0","0","0","https://x.com/undefined/status/1852086148220489893","1380177543895023617",
"1852085414900961660","Thu Oct 31 20:29:07 +0000 2024","1","5 Dampak Negatif Tidur Terlalu Lama Bisa Picu Depresi dan Sakit Kepala https://t.co/hus9BYpUFj","1852085414900961660","","","in","","0","0","0","https://x.com/undefined/status/1852085414900961660","71436318",
"1852081151902650472","Thu Oct 31 20:12:16 +0000 2024","22","Dengan begitu risiko stroke dan penyakit kardiovaskuler pun dapat menurun. Perasaan bahagia juga menurunkan risiko gangguan kecemasan dan depresi. Untuk bisa membahagiakan diri sendiri dan mendapatkan manfaat di atas berikut ini beberapa cara yang bisa kamu lakukan:","1852081175545733616","","Kayyisaaaaaa","in","","0","11","0","https://x.com/undefined/status/1852081175545733616","1541879552829292544",
"1851966009617559770","Thu Oct 31 19:42:38 +0000 2024","0","@panduudewanata Iya jgn dimatiin potong aja 2 kaki 1 tangan. Udh biarin idup dipenjara keluar penjara paling depresi trus bund*r.","1852073715242275303","","panduudewanata","in","","0","0","0","https://x.com/undefined/status/1852073715242275303","948697697443172352",
"1851077899966992434","Thu Oct 31 19:28:38 +0000 2024","0","@joihja Duit donasi masih ada sisa kan Gus? Gas lah buat minum sambil dugem biar gak depresi","1852070193406840981","","reviewmoods","in","","0","0","0","https://x.com/undefined/status/1852070193406840981","1346479290817265668",
"1852055992630120937","Thu Oct 31 19:12:28 +0000 2024","0","selama setahun alias selama aku kena depresi itu. Disitu aku juga kekurangan makan dan yess aku gasadar samsek. Tapi pas pandemic nafsu makan ku lebih meningkat dan TB ku juga naik lagii (horeeeee)","1852066125213049135","","Adoringlyou","in","","0","1","0","https://x.com/undefined/status/1852066125213049135","1562810856261709825",
"1852033785891533056","Thu Oct 31 19:12:11 +0000 2024","0","@kushdu @hana15she Depresi","1852066052966093209","","kushdu","in","","0","0","0","https://x.com/undefined/status/1852066052966093209","1665502858232446978",
